Iteration	Posterior	Likelihood	Prior	mu_plumage
190000	-744.5987	-744.5888	-0.009883636	0.009883636
190500	-744.8568	-744.8467	-0.01014217	0.01014217
191000	-744.4162	-744.4067	-0.009576105	0.009576105
191500	-744.3744	-744.365	-0.009375126	0.009375126
192000	-745.6886	-745.6779	-0.01068593	0.01068593
192500	-745.5984	-745.5902	-0.008165846	0.008165846
193000	-744.438	-744.4289	-0.009063815	0.009063815
193500	-744.3848	-744.3755	-0.009226544	0.009226544
194000	-744.3863	-744.3771	-0.009218884	0.009218884
194500	-744.5459	-744.5361	-0.009814971	0.009814971
195000	-744.5624	-744.5536	-0.008867905	0.008867905
195500	-744.3846	-744.3751	-0.009461238	0.009461238
196000	-744.8892	-744.8807	-0.008566751	0.008566751
196500	-744.3868	-744.3773	-0.009472561	0.009472561
197000	-746.2744	-746.2665	-0.007893252	0.007893252
197500	-744.7421	-744.7335	-0.008683777	0.008683777
198000	-744.3749	-744.3655	-0.009383778	0.009383778
198500	-744.3937	-744.3845	-0.009186597	0.009186597
199000	-744.4402	-744.4312	-0.009059056	0.009059056
199500	-744.5145	-744.5055	-0.008931742	0.008931742
200000	-745.8365	-745.8285	-0.008062035	0.008062035
200500	-745.0658	-745.0574	-0.008447836	0.008447836
201000	-745.5567	-745.5485	-0.008185115	0.008185115
201500	-744.4482	-744.4386	-0.009652017	0.009652017
202000	-744.7068	-744.6981	-0.008715436	0.008715436
202500	-744.3887	-744.3795	-0.009207434	0.009207434
203000	-744.9823	-744.9721	-0.01024308	0.01024308
203500	-744.5818	-744.572	-0.009862686	0.009862686
204000	-744.3932	-744.384	-0.009188779	0.009188779
204500	-744.3849	-744.3757	-0.00922592	0.00922592
205000	-744.4745	-744.4648	-0.009702803	0.009702803
205500	-744.4603	-744.4506	-0.009676275	0.009676275
206000	-744.9785	-744.97	-0.008504338	0.008504338
206500	-744.5186	-744.5088	-0.009775345	0.009775345
207000	-744.5898	-744.581	-0.008835204	0.008835204
207500	-744.6653	-744.6554	-0.009960119	0.009960119
208000	-744.3749	-744.3656	-0.009303563	0.009303563
208500	-744.3818	-744.3723	-0.009444918	0.009444918
209000	-744.3835	-744.3743	-0.00923317	0.00923317
209500	-744.9086	-744.8984	-0.01018515	0.01018515
210000	-744.3934	-744.3842	-0.009187852	0.009187852
210500	-745.5192	-745.511	-0.008202772	0.008202772
211000	-744.9667	-744.9582	-0.00851226	0.00851226
211500	-744.8739	-744.8654	-0.008578022	0.008578022
212000	-745.7342	-745.7235	-0.01071015	0.01071015
212500	-744.4419	-744.4329	-0.009055455	0.009055455
213000	-744.48	-744.4703	-0.009712623	0.009712623
213500	-744.531	-744.5221	-0.00890858	0.00890858
214000	-744.6199	-744.6111	-0.008801698	0.008801698
214500	-744.5021	-744.4923	-0.009749689	0.009749689
215000	-745.2264	-745.218	-0.008353179	0.008353179
215500	-744.4475	-744.4379	-0.009650572	0.009650572
216000	-744.6803	-744.6703	-0.009976079	0.009976079
