Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_plumage
294	0	-543.9046	-543.8907	-0.01393397	0.01393397
295	1	-544.0324	-544.0189	-0.01351661	0.01351661
296	0	-544.6886	-544.6723	-0.01628489	0.01628489
297	1	-544.0484	-544.0331	-0.01523286	0.01523286
298	0	-544.3392	-544.3234	-0.01579811	0.01579811
299	1	-543.8759	-543.8618	-0.01412552	0.01412552
300	0	-544.4708	-544.4549	-0.01599632	0.01599632
301	1	-544.382	-544.3661	-0.01586501	0.01586501
302	0	-544.0131	-543.9979	-0.01514015	0.01514015
303	1	-544.4342	-544.4214	-0.01285115	0.01285115
304	0	-544.7382	-544.7256	-0.012514	0.012514
305	1	-543.9773	-543.9636	-0.01366258	0.01366258
306	0	-543.8778	-543.8637	-0.01410761	0.01410761
307	1	-544.0004	-543.9868	-0.01359755	0.01359755
308	0	-544.6484	-544.6358	-0.01260576	0.01260576
309	1	-544.6737	-544.6574	-0.01626626	0.01626626
310	0	-544.1173	-544.1019	-0.01539215	0.01539215
311	1	-543.9829	-543.9693	-0.01364607	0.01364607
312	0	-543.9337	-543.9188	-0.01488002	0.01488002
313	1	-544.1002	-544.0848	-0.01535477	0.01535477
314	0	-545.2024	-545.1855	-0.01685166	0.01685166
315	1	-543.8752	-543.8611	-0.01413228	0.01413228
316	0	-544.2155	-544.1999	-0.01558668	0.01558668
317	1	-543.8744	-543.8603	-0.01414058	0.01414058
318	0	-543.9076	-543.8937	-0.01391898	0.01391898
319	1	-543.9918	-543.9782	-0.01362107	0.01362107
320	0	-543.8773	-543.8632	-0.01411206	0.01411206
321	1	-543.9403	-543.9265	-0.01378309	0.01378309
322	0	-543.8656	-543.8514	-0.01429166	0.01429166
323	1	-545.4022	-545.3903	-0.01195659	0.01195659
324	0	-543.8804	-543.8658	-0.01459114	0.01459114
325	1	-544.4392	-544.4263	-0.01284496	0.01284496
326	0	-543.9623	-543.9486	-0.01370856	0.01370856
327	1	-543.8748	-543.8607	-0.01413607	0.01413607
328	0	-543.8959	-543.8812	-0.01469903	0.01469903
329	1	-544.4858	-544.4697	-0.01601744	0.01601744
330	0	-545.0771	-545.0604	-0.01672411	0.01672411
331	1	-543.9379	-543.923	-0.01489657	0.01489657
332	0	-543.912	-543.8972	-0.01478488	0.01478488
333	1	-546.7207	-546.7096	-0.01116839	0.01116839
334	0	-546.2415	-546.2237	-0.01775711	0.01775711
335	1	-544.8398	-544.8274	-0.01241615	0.01241615
336	0	-544.8483	-544.8359	-0.01240817	0.01240817
337	1	-543.967	-543.952	-0.01500092	0.01500092
338	0	-543.9046	-543.8907	-0.01393375	0.01393375
339	1	-544.6935	-544.6773	-0.01629097	0.01629097
340	0	-544.0948	-544.0814	-0.0133793	0.0133793
341	1	-544.0072	-543.9936	-0.01357965	0.01357965
342	0	-549.6083	-549.5884	-0.01989542	0.01989542
343	1	-543.9956	-543.9805	-0.01509025	0.01509025
344	0	-543.9081	-543.8933	-0.01476541	0.01476541
345	1	-543.9122	-543.8974	-0.01478548	0.01478548
346	0	-543.9814	-543.9664	-0.01504736	0.01504736
347	1	-543.9224	-543.9076	-0.01483265	0.01483265
348	0	-543.9213	-543.9065	-0.01482795	0.01482795
349	1	-543.888	-543.874	-0.01402949	0.01402949
350	0	-544.2453	-544.2322	-0.01311375	0.01311375
351	1	-544.2465	-544.2334	-0.01311182	0.01311182
352	0	-543.9279	-543.9141	-0.01383001	0.01383001
353	1	-543.8712	-543.8567	-0.014496	0.014496
354	0	-543.9138	-543.8999	-0.0138902	0.0138902
355	1	-543.8698	-543.8553	-0.01447611	0.01447611
356	0	-544.0332	-544.018	-0.01519407	0.01519407
357	1	-546.2537	-546.236	-0.0177666	0.0177666
358	0	-543.9305	-543.9167	-0.01382001	0.01382001
359	1	-544.3922	-544.3763	-0.01588059	0.01588059
360	0	-544.0722	-544.0587	-0.01342651	0.01342651
361	1	-543.8885	-543.8738	-0.0146517	0.0146517
362	0	-544.8335	-544.8211	-0.01242201	0.01242201
363	1	-544.3068	-544.2938	-0.01302184	0.01302184
364	0	-543.8678	-543.8534	-0.01444184	0.01444184
365	1	-543.9126	-543.8978	-0.01478745	0.01478745
366	0	-544.2034	-544.1903	-0.01318091	0.01318091
367	1	-544.3897	-544.3768	-0.01290817	0.01290817
368	0	-543.8685	-543.854	-0.01445482	0.01445482
369	1	-544.4957	-544.4829	-0.01277625	0.01277625
370	0	-544.9149	-544.8983	-0.01654976	0.01654976
371	1	-544.0694	-544.0542	-0.01528421	0.01528421
372	0	-544.0123	-543.9971	-0.01513785	0.01513785
373	1	-544.5274	-544.5146	-0.01273913	0.01273913
374	0	-544.4183	-544.4055	-0.01287122	0.01287122
375	1	-543.8991	-543.8851	-0.01396309	0.01396309
376	0	-544.846	-544.8295	-0.01647211	0.01647211
377	1	-544.0955	-544.0821	-0.01337785	0.01337785
378	0	-543.9393	-543.9244	-0.0149021	0.0149021
379	1	-544.0185	-544.0034	-0.01515511	0.01515511
380	0	-543.8982	-543.8835	-0.01471254	0.01471254
381	1	-543.9548	-543.9398	-0.01495931	0.01495931
382	0	-545.7573	-545.7456	-0.0117147	0.0117147
383	1	-544.1096	-544.0943	-0.01537558	0.01537558
384	0	-543.8652	-543.8508	-0.01434243	0.01434243
385	1	-544.1334	-544.118	-0.01542626	0.01542626
386	0	-544.3933	-544.3804	-0.01290348	0.01290348
387	1	-543.8655	-543.8511	-0.01437127	0.01437127
388	0	-544.2473	-544.2342	-0.0131106	0.0131106
389	1	-543.8661	-543.8517	-0.01439938	0.01439938
